省级区域,建议代表场馆,图片状态,核验说明,规范场馆名称,官方网站,链接类型,核验状态,核验日期,网站备注
北京市,中国共产党历史展览馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,中国共产党历史展览馆,https://www.cpcmuseum.cn/,独立官网,已核验,2026-07-12,国家级场馆官网
天津市,周恩来邓颖超纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,周恩来邓颖超纪念馆,http://www.mzhoudeng.com/,独立官网,已匹配,2026-07-12,场馆官网
河北省,西柏坡纪念馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,西柏坡纪念馆,http://www.xbpjng.cn/,独立官网,已匹配,2026-07-12,场馆官网
山西省,八路军太行纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,八路军太行纪念馆,http://www.balujun.cn/,独立官网,已匹配,2026-07-12,场馆官网
内蒙古自治区,乌兰夫纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,乌兰夫纪念馆,http://www.wlfjng.org.cn/,原独立官网,建议复核可访问性,2026-07-12,原场馆官网域名；上线前建议再次测试
辽宁省,九一八历史博物馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,沈阳“九·一八”历史博物馆,http://www.918museum.org.cn/,独立官网,已匹配,2026-07-12,场馆官网
吉林省,四平战役纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,四平战役纪念馆,https://www.siping.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,未确认稳定独立官网，使用四平市人民政府官网
黑龙江省,东北烈士纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,东北烈士纪念馆,https://www.jn1948.cn/index.htm,独立官网,已核验,2026-07-12,场馆官网
上海市,中共一大纪念馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,中共一大纪念馆,https://www.zgyd1921.com/,独立官网,已核验,2026-07-12,场馆官网
江苏省,雨花台烈士纪念馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,雨花台烈士纪念馆,https://yht.nanjing.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,未确认稳定独立官网，使用南京市雨花台区人民政府官网
浙江省,南湖革命纪念馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,南湖革命纪念馆,http://www.nanhu.com.cn/,场馆/景区官网,已匹配,2026-07-12,南湖红色旅游官方入口
安徽省,金寨县革命博物馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,金寨县革命博物馆,https://www.ahjinzhai.gov.cn/,属地政府官网,已核验官方入口,2026-07-12,未确认稳定独立官网，使用金寨县人民政府官网
福建省,古田会议纪念馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,古田会议纪念馆,https://www.gthyjng.com/,独立官网,已匹配,2026-07-12,场馆官网
江西省,井冈山革命博物馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,井冈山革命博物馆,http://www.jgs.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,未确认稳定独立官网，使用井冈山市人民政府官网
山东省,孟良崮战役纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,孟良崮战役纪念馆,http://www.mengyin.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,使用蒙阴县人民政府官网
河南省,红旗渠纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,红旗渠纪念馆,https://www.linzhou.gov.cn/,属地政府官网,已核验官方入口,2026-07-12,使用林州市人民政府官网（红旗渠所在地）
湖北省,黄麻起义和鄂豫皖苏区纪念园,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,黄麻起义和鄂豫皖苏区纪念园,http://www.hazf.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,使用红安县人民政府官网
湖南省,韶山毛泽东同志纪念馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,韶山毛泽东同志纪念馆,http://www.ssmzd.com/,独立官网,已核验,2026-07-12,场馆官网
广东省,广州起义烈士陵园,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,广州起义烈士陵园,https://www.gz.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,未确认稳定独立官网，使用广州市人民政府官网
广西壮族自治区,百色起义纪念馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,百色起义纪念馆,http://www.baise.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,未确认稳定独立官网，使用百色市人民政府官网
海南省,母瑞山革命根据地纪念园,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,母瑞山革命根据地纪念园,https://dingan.hainan.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,使用定安县人民政府官网
重庆市,红岩革命纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,红岩革命纪念馆,https://www.hongyan.info/,上级机构官网,已核验,2026-07-12,重庆红岩革命历史博物馆官网
四川省,泸定桥革命文物陈列馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,泸定桥革命文物陈列馆,http://www.luding.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,使用泸定县人民政府官网
贵州省,遵义会议纪念馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,遵义会议纪念馆,https://www.zunyi.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,未确认稳定独立官网，使用遵义市人民政府官网
云南省,云南陆军讲武堂历史博物馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,云南陆军讲武堂历史博物馆,https://www.km.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,使用昆明市人民政府官网
西藏自治区,西藏百万农奴解放纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,西藏百万农奴解放纪念馆,https://www.tibetmuseum.com.cn/,上级机构官网,已核验,2026-07-12,该馆为西藏博物馆相关常设展馆，链接至西藏博物馆官网
陕西省,延安革命纪念馆,基础包已有代表图片,正式上线前核验场馆名称、开放信息、经纬度和素材授权,延安革命纪念馆,http://www.yanan.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,未确认稳定独立官网，使用延安市人民政府官网
甘肃省,会宁红军长征胜利纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,会宁红军长征胜利纪念馆,https://www.huining.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,使用会宁县人民政府官网
青海省,西路军纪念馆相关红色场馆（需进一步核验）,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,青海原子城纪念馆,http://www.haibei.gov.cn/,属地政府官网,名称已调整,2026-07-12,原条目不够具体，改为青海省代表性红色场馆“青海原子城纪念馆”，链接至海北州人民政府官网
宁夏回族自治区,六盘山红军长征纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,六盘山红军长征纪念馆,https://www.nxgy.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,使用固原市人民政府官网
新疆维吾尔自治区,三五九旅屯垦纪念馆,待参赛队补充,正式上线前核验场馆名称、开放信息、经纬度和素材授权,三五九旅屯垦纪念馆,http://www.ale.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,使用新疆阿拉尔市人民政府官网
