id,场馆名称,省份,城市,区县,分类,图片路径,简介,作者,许可,来源页,纬度,经度,规范场馆名称,官方网站,链接类型,核验状态,核验日期,网站备注
1,中共一大会址纪念馆,上海市,上海市,黄浦区,革命旧址/纪念馆,assets/全国红色场馆图片/场馆01_上海_中共一大会址.jpg,中国共产党第一次全国代表大会相关重要革命旧址，适合作为建党历史主题导览示例。,Peter Verkhovensky,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Site_of_the_First_National_Congress_of_the_Communist_Party_of_China.jpg,,,中共一大纪念馆,https://www.zgyd1921.com/,独立官网,已核验,2026-07-12,与“中共一大纪念馆”使用同一官网
2,中国共产党历史展览馆,北京市,北京市,朝阳区,党史展览馆,assets/全国红色场馆图片/场馆02_北京_中国共产党历史展览馆.jpg,综合展示中国共产党历史的重要国家级展览场馆，可用于党史时间线和专题展陈导览。,N509FZ,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Museum_of_the_Communist_Party_of_China_(20211123140738).jpg,40.000778,116.3917,中国共产党历史展览馆,https://www.cpcmuseum.cn/,独立官网,已核验,2026-07-12,国家级场馆官网
3,嘉兴南湖红船,浙江省,嘉兴市,南湖区,革命纪念地,assets/全国红色场馆图片/场馆03_浙江_嘉兴南湖红船.jpg,与中共一大南湖续会相关的标志性红色文化景观，可用于红船精神主题导览。,ScareCriterion12,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:嘉兴南湖红船2021_(1).jpg,,,南湖革命纪念馆/南湖红船,http://www.nanhu.com.cn/,场馆/景区官网,已匹配,2026-07-12,与南湖革命纪念馆使用同一官方入口
4,井冈山革命博物馆,江西省,吉安市,井冈山市,革命博物馆,assets/全国红色场馆图片/场馆04_江西_井冈山革命博物馆.jpg,集中展示井冈山革命斗争历史，适合设计革命根据地、人物故事和路线研学模块。,Liuxingy,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:井冈山革命博物馆_01.jpg,26.570833,114.160833,井冈山革命博物馆,http://www.jgs.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,未确认稳定独立官网，使用井冈山市人民政府官网
5,西柏坡纪念馆,河北省,石家庄市,平山县,革命纪念馆,assets/全国红色场馆图片/场馆05_河北_西柏坡纪念馆.jpg,西柏坡时期革命历史的重要展示场馆，可用于解放战争、赶考精神等专题导览。,N509FZ,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Xibaipo_Memorial_Hall_(20240609100945).jpg,,,西柏坡纪念馆,http://www.xbpjng.cn/,独立官网,已匹配,2026-07-12,场馆官网
6,延安革命纪念馆,陕西省,延安市,宝塔区,革命纪念馆,assets/全国红色场馆图片/场馆06_陕西_延安革命纪念馆.jpg,系统呈现党中央在延安时期革命历程的重要场馆，可用于延安精神和革命旧址群导览。,Ghrkya,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:延安革命纪念馆正门.jpg,,,延安革命纪念馆,http://www.yanan.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,未确认稳定独立官网，使用延安市人民政府官网
7,遵义会议会址,贵州省,遵义市,红花岗区,革命旧址,assets/全国红色场馆图片/场馆07_贵州_遵义会议会址.jpg,长征途中重要历史会议旧址，适合设置会议背景、历史转折与长征路线专题。,N509FZ,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Site_of_Zunyi_Conference_(20180220101816).jpg,,,遵义会议纪念馆（会址）,https://www.zunyi.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,与遵义会议纪念馆使用同一官方入口
8,古田会议会址,福建省,龙岩市,上杭县,革命旧址,assets/全国红色场馆图片/场馆08_福建_古田会议会址.jpg,古田会议相关重要旧址，可用于党建、人民军队建设和红色研学主题展示。,Rolfmueller,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Gutian_compound.jpg,,,古田会议纪念馆（会址）,https://www.gthyjng.com/,独立官网,已匹配,2026-07-12,与古田会议纪念馆使用同一官网
9,百色起义纪念馆,广西壮族自治区,百色市,右江区,革命纪念馆,assets/全国红色场馆图片/场馆09_广西_百色起义纪念馆.jpg,展示百色起义和左右江革命根据地历史，适合作为民族地区红色文化导览案例。,N509FZ,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Baise_Uprising_Memorial_Hall_(20230403093423).jpg,23.904806,106.636453,百色起义纪念馆,http://www.baise.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,未确认稳定独立官网，使用百色市人民政府官网
10,雨花台烈士纪念馆（纪念建筑）,江苏省,南京市,雨花台区,烈士纪念设施,assets/全国红色场馆图片/场馆10_江苏_雨花台烈士纪念建筑.jpg,南京重要烈士纪念设施，可用于英烈事迹、纪念教育和线上献花等交互设计。,东京村子,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:Memorial_of_the_Yuhuatai_martyrs,_Nanjing_(P47555764).jpg",31.997977,118.775446,雨花台烈士纪念馆,https://yht.nanjing.gov.cn/,属地政府官网,已匹配官方入口,2026-07-12,使用南京市雨花台区人民政府官网
